"Participant","Sex","Race","Age","School_year","Major","Handedness","Glasses","Acuity","Color_vision","Stereo_amin","motion_dur_thr","motion_dur_thr_mean","motion_dur_thr_sd","contrast_thr","contrast_thr_mean","contrast_thr_sd","vocab","Vocabulary_scores_cor_num","mental_rot","Mental_Rotation_scores_both","Feminine_hobbies","Masculine_hobbies","hobby_mean","femscale","masscale","Golf","Painting","Dancing","Going to rock concerts","Going to parties","Home electronics","Going to amusement parks","Going to art galleries","Going to church groups","Writing poetry","Surfing","Volleyball","Entertaining others","Trying new fashions","Aerobics","Travelling","Computers","Video games","Talking on phone with friends","Clothes shopping","Romance novels","Reading science fiction","Watching violent movies","Sailing","Going to car shows","Singing","Swimming","Collecting stamps","Collecting CDs","Photography","Fishing","Drawing","Going out to drink with friends","Poker","Playing basketball","Listening to religious music","Going to formal dress affairs","Going to night clubs","TV sports","Skiing","Football","Camping","Cooking","Weight lifting","Going to movies","Playing a musical instrument","Raising pets","Working on cars","Going to shows and plays","Knitting","Going out on dates","“Thriller” movies","Romance movies","Going out to dinner with friends","Going to museums","House plants","Drag racing","Collecting coins","Collecting stuffed animals","Collecting pictures of friends and family"
"101","Female","White","23+","3rd","Psychology","either",NA,"20/16",NA,"40",0.0961669168172655,0.0958839463014618,0.00423235888113047,0.140064642485192,0.140472917825877,0.00441039864426098,9,11,37,17,3.77272727272727,3.13333333333333,3.65,0.122727272727273,-0.516666666666667,2,3,4,5,4,4,5,3,1,3,3,4,5,3,3,5,4,5,5,5,4,5,3,3,2,4,4,3,3,3,1,4,5,4,4,2,5,5,5,3,5,2,3,2,5,3,4,2,5,3,4,5,5,5,3,3,1,3,3,5
"102","Female","White","18-19","1st","DUS","right",NA,"20/16",NA,"140",0.0862284993875653,0.0862437704636119,0.0063115982084622,0.164629053629562,0.197630228575742,0.0774911388161158,10,15,19,3,3.86363636363636,3.46666666666667,3.66666666666667,0.196969696969697,-0.2,1,4,4,3,5,5,5,2,2,1,3,3,5,5,4,5,5,3,5,5,5,3,4,3,2,3,4,1,2,4,4,5,5,3,5,1,5,5,5,4,5,3,5,4,4,2,5,1,3,3,4,5,5,5,2,4,2,2,3,5
"103","Female","White","20-21","3rd","Psychology","right",NA,"20/16",NA,"40",0.101116201929376,0.101865365468757,0.0139660557889402,0.166101944082915,0.164432907112718,0.0269318486720958,8,11,24,6,3.72727272727273,2.53333333333333,3.25,0.477272727272727,-0.716666666666667,2,4,5,3,4,3,4,2,2,1,3,3,4,4,4,5,3,3,5,5,3,3,1,4,2,3,4,2,1,3,1,3,4,3,3,2,4,4,4,3,4,2,5,3,4,2,5,2,3,3,5,4,4,5,3,5,1,1,3,5
"105","Female","White","20-21","3rd","psychology","right",NA,"20/16",NA,"40",0.110110347803393,0.111642254106655,0.00589333734719267,0.193117605210728,0.190821796119812,0.0273514818367964,14.75,19,36,16,3.77272727272727,2.26666666666667,3.41666666666667,0.356060606060606,-1.15,1,4,4,5,4,1,5,5,1,4,3,2,3,3,3,5,1,2,5,2,2,4,5,3,2,5,4,3,4,4,3,5,5,2,1,1,4,3,1,1,3,5,5,5,5,5,5,1,5,3,4,5,2,5,5,5,3,3,3,3
"107","Female","Asian","18-19","1st","biochemistry and molecular biology","left",NA,"20/20",NA,"60",0.0808023901227795,0.0792317068902635,0.0156749400761248,0.161384352991755,0.161327895456483,0.0162963810076167,12.25,17,27,11,4.5,3.4,4.06666666666667,0.433333333333334,-0.666666666666667,2,5,5,5,5,4,5,4,1,5,5,5,5,5,5,5,4,2,5,5,5,5,3,5,1,5,4,1,2,5,3,5,3,2,4,1,4,3,5,5,5,5,5,5,5,3,5,3,5,2,4,5,5,5,5,5,3,3,3,5
"104","Male","White","18-19","1st","AD/PR","right",NA,"20/20",NA,"40",0.187970800367321,0.189969404759067,0.0792527960642251,0.272637263617747,0.261545045825385,0.072291822319202,5,11,21,4,3.04545454545455,3.66666666666667,3.36666666666667,-0.321212121212121,0.3,2,2,4,3,5,4,3,3,3,1,5,4,5,3,2,5,4,4,5,4,1,3,3,5,4,3,5,1,3,4,5,3,4,2,5,3,4,3,5,5,4,3,4,3,3,3,4,2,2,1,5,3,2,5,3,3,3,2,2,3
"109","Female","White","20-21","3rd","Psychology","right",NA,"20/20",NA,"40",0.124708420786642,0.14596562334034,0.0515750944950282,0.226872799876152,0.319490401008736,0.227180408227861,6,12,23,6,3.72727272727273,2.73333333333333,3.3,0.427272727272727,-0.566666666666666,2,4,4,3,4,4,4,4,2,4,3,4,4,5,4,4,4,3,4,4,4,2,3,3,3,4,4,2,3,5,3,5,4,2,1,1,3,4,4,3,4,3,4,2,3,2,5,1,1,1,4,2,5,5,5,5,2,2,2,3
"111","Female","Black","18-19","1st","Biology","right",NA,"20/16",NA,"40",0.104705845834881,0.119080201013864,0.0431030173500539,NA,NA,NA,6.25,12,22,5,3.63636363636364,3,3.36666666666667,0.26969696969697,-0.366666666666667,3,4,5,1,2,4,5,3,3,3,3,4,4,3,3,5,4,3,5,5,3,1,2,2,1,4,5,1,3,3,5,3,3,3,3,5,4,3,4,3,5,4,4,2,4,4,5,1,3,2,5,4,5,5,3,1,2,2,3,5
"113","Male","Asian","20-21","3rd","PSY","right",NA,"20/16",NA,"40",0.111419162794004,0.111405848357436,0.00763401360825017,0.143816121119609,0.147521346112589,0.00920484263135142,0,7,36,17,2.72727272727273,3.13333333333333,3,-0.272727272727273,0.133333333333333,4,2,2,2,3,4,3,1,1,1,2,2,3,3,3,4,5,5,4,3,4,4,3,3,2,2,4,3,3,4,2,2,4,4,3,3,2,2,2,3,3,3,4,3,5,3,4,3,3,3,5,4,4,4,1,3,2,3,2,2
"106","Female","Asian","18-19","1st","Public Relations and Human Resources","right",NA,"20/20",NA,"40",0.0919598286948947,0.113740688348852,0.0459135149925632,NA,NA,NA,11,16,31,11,3.68181818181818,2.8,3.3,0.381818181818182,-0.5,1,2,2,4,5,4,4,3,3,1,2,4,4,4,2,5,4,2,5,5,4,1,3,3,1,5,3,1,1,4,3,2,5,4,3,2,5,5,4,2,4,3,4,4,5,4,5,1,4,1,4,3,5,5,4,4,2,3,1,5
"115","Female","Pacific Islander","18-19","1st","Labor and Human Resources","right",NA,"20/16",NA,"40",0.0895463059429904,0.091459195806942,0.00665871295757058,0.18204667577605,0.178895161992019,0.0237390890568051,6,8,27,7,3.5,2.66666666666667,3.18333333333333,0.316666666666667,-0.516666666666667,4,5,4,2,5,4,4,2,2,4,5,5,4,4,3,4,4,1,5,5,4,1,1,4,1,4,5,1,1,4,4,2,4,1,1,1,5,4,4,4,4,4,4,2,4,2,5,1,3,1,4,2,4,5,1,4,3,1,2,3
"108","Female","White","18-19","2nd","psychology","right",NA,"20/16",NA,"40",0.0909384414419487,0.0897388008379933,0.00769097871578906,0.251722861193076,0.251209959651842,0.0229588712292464,4.75,11,20,6,4.36363636363636,2.6,3.8,0.563636363636363,-1.2,1,5,5,5,5,3,4,4,1,5,3,2,5,4,3,5,2,2,4,5,3,4,3,4,3,5,5,2,2,4,4,5,5,5,1,1,4,4,1,4,4,5,5,2,4,5,5,2,4,5,5,5,5,5,5,5,3,2,5,5
"117","Female","White","18-19","1st","Psychology","right",NA,"20/16",NA,"40",0.113187815018828,0.114629318768548,0.00584829593374354,0.277204676925521,0.280919147819062,0.145885663164126,13.25,15,25,6,3.54545454545455,2.33333333333333,2.9,0.645454545454546,-0.566666666666666,4,3,4,2,4,3,3,4,2,1,3,1,4,3,4,5,2,1,4,3,3,1,1,3,2,2,2,2,2,4,3,3,3,4,2,2,4,3,4,4,2,2,4,2,4,2,4,1,5,3,3,2,4,5,4,4,1,2,2,4
"385","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112650858827589,0.11277694527148,0.00943737283435833,0.220664335830992,0.274641455812334,0.148139599387355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
