"Participant","Sex","Race","Age","School_year","Major","Handedness","Glasses","Acuity","Color_vision","Stereo_amin","motion_dur_thr","motion_dur_thr_mean","motion_dur_thr_sd","contrast_thr","contrast_thr_mean","contrast_thr_sd","vocab","Vocabulary_scores_cor_num","mental_rot","Mental_Rotation_scores_both","Feminine_hobbies","Masculine_hobbies","hobby_mean","femscale","masscale","Golf","Painting","Dancing","Going to rock concerts","Going to parties","Home electronics","Going to amusement parks","Going to art galleries","Going to church groups","Writing poetry","Surfing","Volleyball","Entertaining others","Trying new fashions","Aerobics","Travelling","Computers","Video games","Talking on phone with friends","Clothes shopping","Romance novels","Reading science fiction","Watching violent movies","Sailing","Going to car shows","Singing","Swimming","Collecting stamps","Collecting CDs","Photography","Fishing","Drawing","Going out to drink with friends","Poker","Playing basketball","Listening to religious music","Going to formal dress affairs","Going to night clubs","TV sports","Skiing","Football","Camping","Cooking","Weight lifting","Going to movies","Playing a musical instrument","Raising pets","Working on cars","Going to shows and plays","Knitting","Going out on dates","“Thriller” movies","Romance movies","Going out to dinner with friends","Going to museums","House plants","Drag racing","Collecting coins","Collecting stuffed animals","Collecting pictures of friends and family"
"401","Female","White","18-19","1st","math/data science","right","glasses/contacts","20/16",NA,"40",0.114699633802638,0.112542661684072,0.0110834882281455,0.157906550523456,0.155657381626952,0.0176513964517436,11.25,16,21,5,3.54545454545455,2.93333333333333,3.23333333333333,0.312121212121212,-0.3,5,3,5,2,4,3,5,2,4,1,3,3,5,5,5,5,4,2,5,5,3,1,1,3,3,4,5,1,2,4,3,3,4,1,5,2,4,4,4,4,4,2,5,3,5,2,5,2,1,1,3,3,3,5,2,3,1,1,1,5
"402","Female","White","18-19","1st","Public Relations","right","none","20/16",NA,"40",0.127841290593306,0.128999022932294,0.0132672117553916,0.270075736573407,0.28914897947734,0.062668300627364,13.5,18,19,3,3.13636363636364,2.53333333333333,2.66666666666667,0.46969696969697,-0.133333333333333,3,2,4,1,5,5,4,2,1,1,1,1,4,4,4,5,4,2,5,4,2,1,2,2,2,1,4,1,1,2,1,1,4,1,1,1,4,4,5,1,5,1,3,3,3,1,4,2,4,1,4,2,5,5,3,3,1,1,1,5
"403","Female","White","18-19","1st","Undecided, possibly English Education/Theatre Studies","either","glasses/contacts","20/16",NA,"40",0.0855383130259836,0.0886094650456578,0.00770764394435351,0.162647911044567,0.182597934790814,0.0533117869462892,17.25,21,15,7,3.72727272727273,3.06666666666667,3.53333333333333,0.193939393939394,-0.466666666666666,2,4,4,4,4,4,4,4,1,4,3,3,5,3,3,3,4,4,4,4,4,4,4,3,3,5,3,2,3,3,3,4,4,3,3,2,4,4,2,3,3,4,4,2,4,4,4,3,5,3,5,4,4,4,4,4,3,3,4,4
"404","Female","White","18-19","1st","undecided but possibly advertising/pr","left","none","20/20",NA,"40",0.10347257073514,0.128981443491604,0.0628579253181015,0.151020698844701,0.165060419978289,0.0342765757363227,7.25,13,18,1,4.36363636363636,3.13333333333333,3.86666666666667,0.496969696969697,-0.733333333333333,4,5,5,4,5,4,5,5,1,4,3,4,4,5,4,5,3,3,5,5,4,3,1,3,3,5,5,3,4,5,3,5,5,2,4,1,5,4,4,3,4,4,5,3,5,4,5,2,5,2,4,1,4,5,4,4,4,3,4,5
"405","Female","Black","20-21","2nd","psychology","left","none","20/16",NA,"40",0.108332963544622,0.129705207125219,0.0493263279122379,0.185363488011131,0.184031766392905,0.0310737747120702,4.75,11,27,7,3.22727272727273,2.73333333333333,3.1,0.127272727272727,-0.366666666666667,1,4,3,1,4,4,5,3,4,1,2,5,5,5,2,5,5,3,5,5,1,1,3,2,2,4,4,1,1,5,1,5,5,2,5,5,4,4,4,1,5,3,3,1,2,1,3,1,4,1,5,5,1,5,2,2,2,2,2,4
"406","Female","Hispanic/Latino","18-19","1st","Supply Chain","right","glasses/contacts","20/20",NA,"40",0.0944288769971675,0.0944063892972912,0.00163718493582448,0.164645349240036,0.165759136668051,0.0191873745764202,7.25,13,17,1,4.09090909090909,3.4,3.61666666666667,0.474242424242424,-0.216666666666667,3,4,4,4,4,5,5,3,3,2,3,4,5,5,5,5,4,3,5,5,5,2,2,3,3,4,5,2,2,4,4,4,4,4,3,3,4,2,4,2,5,3,4,4,4,2,5,2,4,2,4,1,5,5,4,4,2,2,3,5
"407","Female","Black","20-21","4th","History","right","glasses/contacts","20/25",NA,"140",0.0877229213713936,0.0914946693044038,0.0125939877239923,0.19317835435782,0.186438355552268,0.0296951891170901,9.75,15,18,4,3.40909090909091,2.46666666666667,2.86666666666667,0.542424242424242,-0.4,1,4,4,1,2,3,1,5,3,1,1,2,3,3,1,3,3,5,4,4,2,3,3,1,1,4,5,1,1,4,1,5,2,1,4,3,3,3,4,1,5,1,5,3,5,4,5,1,3,2,2,4,2,5,5,5,1,1,3,4
"408","Female","White","18-19","1st","Pre-medicine","right","glasses/contacts","20/16",NA,"50",0.0798345163923886,0.0749976222409082,0.0115209335455848,0.144630885054358,0.1561681473789,0.0290948451704083,19.75,23,39,19,2.77272727272727,2.4,2.88333333333333,-0.11060606060606,-0.483333333333333,1,4,3,5,5,5,5,3,1,1,1,1,5,2,1,5,3,5,4,2,1,1,1,1,1,5,5,1,3,3,2,4,5,3,4,1,1,3,2,5,4,4,1,1,2,4,5,2,4,4,3,1,2,4,4,4,1,3,3,3
"409","Male","White","18-19","1st","Labor and Human Resources","right","none","20/20",NA,"40",0.070487171751111,0.0705334515705999,0.000381227648804704,0.202254247813486,0.209152789222147,0.0495703419668887,6,12,26,8,3.27272727272727,3.93333333333333,3.56666666666667,-0.293939393939394,0.366666666666666,1,1,1,1,5,5,5,3,3,2,1,4,4,4,1,5,5,5,4,5,1,3,5,1,4,4,4,2,2,3,4,4,3,3,5,4,5,5,5,5,5,3,3,3,5,4,5,5,5,1,5,5,1,5,5,5,3,3,1,5
"410","Male","White","20-21","3rd","Psychology","right","none","20/16",NA,"40",0.0749100698433598,0.0754345438177375,0.00925077317128026,0.172017197451208,0.173646516655279,0.0329180076334897,8.75,14,28,12,3.31818181818182,3.93333333333333,3.68333333333333,-0.365151515151515,0.25,2,2,2,4,5,5,5,3,2,1,3,4,5,4,3,5,5,5,5,4,3,4,4,3,3,2,5,2,3,3,2,2,5,5,4,3,3,4,5,4,5,5,4,4,5,3,5,4,4,3,4,4,3,5,4,3,3,3,3,4
"411","Female","White","18-19","1st","Psychology","right","none","20/16",NA,"40",0.0884532069211464,0.0898230088321251,0.00728905655933415,0.180283926304166,0.178012771264822,0.0258638505728431,10.75,15,37,17,3.27272727272727,3.93333333333333,3.43333333333333,-0.16060606060606,0.5,2,4,4,2,5,5,5,4,2,4,4,2,4,3,2,5,4,5,4,5,1,1,2,4,4,2,3,1,1,4,4,4,5,2,5,1,4,4,4,5,5,4,5,4,4,4,4,5,4,1,5,2,4,5,4,2,4,1,1,2
