direction,cyc_deg,tf_hz,show_secs,correct,rt
-1,1,4,0.333,1,0.221
1,1,4,0.133,1,0.464
-1,1,4,0.053,1,1.181
-1,1,4,0.033,1,0.670
-1,1,4,0.033,0,0.865
1,1.200,4,0.053,0,0.000
