direction,cyc_deg,tf_hz,contrast,correct,rt
1,1,4,20.000,1,0.927
-1,1,4,7.962,1,0.618
1,1,4,3.170,0,1.739
1,1,4,5.024,1,0.674
-1,1,4,5.024,1,0.634
1,1,4,5.024,1,0.708
1,1,4,3.170,0,0.869
1,1,4,3.991,1,0.732
1,1,4,3.991,0,0.743
1,1,4,5.024,0,0.000
