11.3571 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
12.2907 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12f5bf860>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f0f35f8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.6275 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=90.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([3.5, 3.5]), tex='sin', texRes=128, units='deg', win=Window(...))
12.6518 	EXP 	grating_S1_T5: phase = 0.0
12.6703 	EXP 	grating_S1_T5: phase = 0.0
12.6884 	EXP 	grating_S1_T5: phase = 0.0
12.7044 	EXP 	grating_S1_T5: phase = 0.0
12.7208 	EXP 	grating_S1_T5: phase = 0.0
12.7382 	EXP 	grating_S1_T5: phase = 0.0
12.7542 	EXP 	grating_S1_T5: phase = 0.0
12.7707 	EXP 	grating_S1_T5: phase = 0.0
12.7878 	EXP 	grating_S1_T5: phase = 0.0
12.8047 	EXP 	grating_S1_T5: phase = 0.0
12.8216 	EXP 	grating_S1_T5: phase = 0.0
12.8380 	EXP 	grating_S1_T5: phase = 0.0
12.8541 	EXP 	grating_S1_T5: phase = 0.0
12.8705 	EXP 	grating_S1_T5: phase = 0.0
12.8923 	EXP 	grating_S1_T5: phase = 0.0
12.9078 	EXP 	grating_S1_T5: phase = 0.0
12.9279 	EXP 	grating_S1_T5: phase = 0.0
12.9421 	EXP 	grating_S1_T5: phase = 0.0
12.9580 	EXP 	grating_S1_T5: phase = 0.0
12.9713 	EXP 	grating_S1_T5: phase = 0.0
12.9930 	EXP 	grating_S1_T5: phase = 0.0
13.0092 	EXP 	grating_S1_T5: phase = 0.0
13.0252 	EXP 	grating_S1_T5: phase = 0.0
13.0415 	EXP 	grating_S1_T5: phase = 0.0
13.0591 	EXP 	grating_S1_T5: phase = 0.0
13.0751 	EXP 	grating_S1_T5: phase = 0.0
13.0927 	EXP 	grating_S1_T5: phase = 0.0
13.1080 	EXP 	grating_S1_T5: phase = 0.0
13.1255 	EXP 	grating_S1_T5: phase = 0.0
13.1423 	EXP 	grating_S1_T5: phase = 0.0
13.1579 	EXP 	grating_S1_T5: phase = 0.5
13.1749 	EXP 	grating_S1_T5: phase = 0.5
13.1918 	EXP 	grating_S1_T5: phase = 0.5
13.2086 	EXP 	grating_S1_T5: phase = 0.5
13.2256 	EXP 	grating_S1_T5: phase = 0.5
13.2418 	EXP 	grating_S1_T5: phase = 0.5
13.2586 	EXP 	grating_S1_T5: phase = 0.5
13.2758 	EXP 	grating_S1_T5: phase = 0.5
13.2948 	EXP 	grating_S1_T5: phase = 0.5
13.3090 	EXP 	grating_S1_T5: phase = 0.5
13.3255 	EXP 	grating_S1_T5: phase = 0.5
13.3423 	EXP 	grating_S1_T5: phase = 0.5
13.3586 	EXP 	grating_S1_T5: phase = 0.5
13.3744 	EXP 	grating_S1_T5: phase = 0.5
13.3880 	EXP 	grating_S1_T5: phase = 0.5
13.4093 	EXP 	grating_S1_T5: phase = 0.5
13.4259 	EXP 	grating_S1_T5: phase = 0.5
13.4416 	EXP 	grating_S1_T5: phase = 0.5
13.4599 	EXP 	grating_S1_T5: phase = 0.5
13.4759 	EXP 	grating_S1_T5: phase = 0.5
13.4913 	EXP 	grating_S1_T5: phase = 0.5
13.5117 	EXP 	grating_S1_T5: phase = 0.5
13.5262 	EXP 	grating_S1_T5: phase = 0.5
13.5442 	EXP 	grating_S1_T5: phase = 0.5
13.5578 	EXP 	grating_S1_T5: phase = 0.5
13.5759 	EXP 	grating_S1_T5: phase = 0.5
13.5914 	EXP 	grating_S1_T5: phase = 0.5
13.6082 	EXP 	grating_S1_T5: phase = 0.5
13.6249 	EXP 	grating_S1_T5: phase = 0.5
13.6427 	EXP 	grating_S1_T5: phase = 0.5
13.6589 	EXP 	grating_S1_T5: phase = 0.0
13.6751 	EXP 	grating_S1_T5: phase = 0.0
13.6938 	EXP 	grating_S1_T5: phase = 0.0
13.7080 	EXP 	grating_S1_T5: phase = 0.0
13.7248 	EXP 	grating_S1_T5: phase = 0.0
13.7425 	EXP 	grating_S1_T5: phase = 0.0
13.7555 	EXP 	grating_S1_T5: phase = 0.0
13.7854 	EXP 	grating_S1_T5: phase = 0.0
13.8085 	EXP 	grating_S1_T5: phase = 0.0
13.8247 	EXP 	grating_S1_T5: phase = 0.0
13.8423 	EXP 	grating_S1_T5: phase = 0.0
13.8593 	EXP 	grating_S1_T5: phase = 0.0
13.8745 	EXP 	grating_S1_T5: phase = 0.0
13.8909 	EXP 	grating_S1_T5: phase = 0.0
13.9066 	EXP 	grating_S1_T5: phase = 0.0
13.9241 	EXP 	grating_S1_T5: phase = 0.0
13.9403 	EXP 	grating_S1_T5: phase = 0.0
13.9612 	EXP 	grating_S1_T5: phase = 0.0
13.9779 	EXP 	grating_S1_T5: phase = 0.0
13.9926 	EXP 	grating_S1_T5: phase = 0.0
14.0042 	EXP 	grating_S1_T5: phase = 0.0
14.0256 	EXP 	grating_S1_T5: phase = 0.0
14.0368 	EXP 	grating_S1_T5: phase = 0.0
14.0588 	EXP 	grating_S1_T5: phase = 0.0
14.0756 	EXP 	grating_S1_T5: phase = 0.0
14.0872 	EXP 	grating_S1_T5: phase = 0.0
14.1043 	EXP 	grating_S1_T5: phase = 0.0
14.1213 	EXP 	grating_S1_T5: phase = 0.0
14.1439 	EXP 	grating_S1_T5: phase = 0.0
14.1612 	EXP 	grating_S1_T5: phase = 0.5
14.1718 	EXP 	grating_S1_T5: phase = 0.5
14.1875 	EXP 	grating_S1_T5: phase = 0.5
14.2071 	EXP 	grating_S1_T5: phase = 0.5
14.2274 	EXP 	grating_S1_T5: phase = 0.5
14.2380 	EXP 	grating_S1_T5: phase = 0.5
14.2546 	EXP 	grating_S1_T5: phase = 0.5
14.2711 	EXP 	grating_S1_T5: phase = 0.5
14.2878 	EXP 	grating_S1_T5: phase = 0.5
14.3045 	EXP 	grating_S1_T5: phase = 0.5
14.3211 	EXP 	grating_S1_T5: phase = 0.5
14.3382 	EXP 	grating_S1_T5: phase = 0.5
14.3547 	EXP 	grating_S1_T5: phase = 0.5
14.3718 	EXP 	grating_S1_T5: phase = 0.5
14.3880 	EXP 	grating_S1_T5: phase = 0.5
14.4054 	EXP 	grating_S1_T5: phase = 0.5
14.4217 	EXP 	grating_S1_T5: phase = 0.5
14.4401 	EXP 	grating_S1_T5: phase = 0.5
14.4605 	EXP 	grating_S1_T5: phase = 0.5
14.4709 	EXP 	grating_S1_T5: phase = 0.5
14.4895 	EXP 	grating_S1_T5: phase = 0.5
14.5094 	EXP 	grating_S1_T5: phase = 0.5
14.5208 	EXP 	grating_S1_T5: phase = 0.5
14.5384 	EXP 	grating_S1_T5: phase = 0.5
14.5552 	EXP 	grating_S1_T5: phase = 0.5
14.5717 	EXP 	grating_S1_T5: phase = 0.5
14.5886 	EXP 	grating_S1_T5: phase = 0.5
14.6052 	EXP 	grating_S1_T5: phase = 0.5
14.6221 	EXP 	grating_S1_T5: phase = 0.5
14.6386 	EXP 	grating_S1_T5: phase = 0.5
14.6555 	EXP 	grating_S1_T5: color = [0.5, 0.5, 0.5]
14.6555 	EXP 	grating_S1_T5: ori = 0
14.6555 	EXP 	grating_S1_T5: phase = 0.0
14.6719 	EXP 	grating_S1_T5: phase = 0.0
14.6891 	EXP 	grating_S1_T5: phase = 0.0
14.7055 	EXP 	grating_S1_T5: phase = 0.0
14.7224 	EXP 	grating_S1_T5: phase = 0.0
14.7390 	EXP 	grating_S1_T5: phase = 0.0
14.7559 	EXP 	grating_S1_T5: phase = 0.0
14.7729 	EXP 	grating_S1_T5: phase = 0.0
14.7894 	EXP 	grating_S1_T5: phase = 0.0
14.8056 	EXP 	grating_S1_T5: phase = 0.0
14.8244 	EXP 	grating_S1_T5: phase = 0.0
14.8427 	EXP 	grating_S1_T5: phase = 0.0
14.8538 	EXP 	grating_S1_T5: phase = 0.0
14.8727 	EXP 	grating_S1_T5: phase = 0.0
