10.0980 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
10.9734 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12f72e860>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f4cb5f8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.4229 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=90.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([3.5, 3.5]), tex='sin', texRes=128, units='deg', win=Window(...))
11.4404 	EXP 	grating_S1_T5: phase = 0.0
11.4568 	EXP 	grating_S1_T5: phase = 0.0
11.4739 	EXP 	grating_S1_T5: phase = 0.0
11.4902 	EXP 	grating_S1_T5: phase = 0.0
11.5066 	EXP 	grating_S1_T5: phase = 0.0
11.5240 	EXP 	grating_S1_T5: phase = 0.0
11.5399 	EXP 	grating_S1_T5: phase = 0.0
11.5564 	EXP 	grating_S1_T5: phase = 0.0
11.5736 	EXP 	grating_S1_T5: phase = 0.0
11.5897 	EXP 	grating_S1_T5: phase = 0.0
11.6070 	EXP 	grating_S1_T5: phase = 0.0
11.6235 	EXP 	grating_S1_T5: phase = 0.0
11.6398 	EXP 	grating_S1_T5: phase = 0.0
11.6561 	EXP 	grating_S1_T5: phase = 0.0
11.6739 	EXP 	grating_S1_T5: phase = 0.0
11.6904 	EXP 	grating_S1_T5: phase = 0.0
11.7068 	EXP 	grating_S1_T5: phase = 0.0
11.7230 	EXP 	grating_S1_T5: phase = 0.0
11.7404 	EXP 	grating_S1_T5: phase = 0.0
11.7566 	EXP 	grating_S1_T5: phase = 0.0
11.7730 	EXP 	grating_S1_T5: phase = 0.0
11.7902 	EXP 	grating_S1_T5: phase = 0.0
11.8064 	EXP 	grating_S1_T5: phase = 0.0
11.8236 	EXP 	grating_S1_T5: phase = 0.0
11.8406 	EXP 	grating_S1_T5: phase = 0.0
11.8568 	EXP 	grating_S1_T5: phase = 0.0
11.8730 	EXP 	grating_S1_T5: phase = 0.0
11.8902 	EXP 	grating_S1_T5: phase = 0.0
11.9068 	EXP 	grating_S1_T5: phase = 0.0
11.9232 	EXP 	grating_S1_T5: phase = 0.0
11.9403 	EXP 	grating_S1_T5: phase = 0.5
11.9567 	EXP 	grating_S1_T5: phase = 0.5
11.9727 	EXP 	grating_S1_T5: phase = 0.5
11.9899 	EXP 	grating_S1_T5: phase = 0.5
12.0063 	EXP 	grating_S1_T5: phase = 0.5
12.0237 	EXP 	grating_S1_T5: phase = 0.5
12.0398 	EXP 	grating_S1_T5: phase = 0.5
12.0569 	EXP 	grating_S1_T5: phase = 0.5
12.0731 	EXP 	grating_S1_T5: phase = 0.5
12.0893 	EXP 	grating_S1_T5: phase = 0.5
12.1066 	EXP 	grating_S1_T5: phase = 0.5
12.1236 	EXP 	grating_S1_T5: phase = 0.5
12.1402 	EXP 	grating_S1_T5: phase = 0.5
12.1562 	EXP 	grating_S1_T5: phase = 0.5
12.1735 	EXP 	grating_S1_T5: phase = 0.5
12.1900 	EXP 	grating_S1_T5: phase = 0.5
12.2062 	EXP 	grating_S1_T5: phase = 0.5
12.2233 	EXP 	grating_S1_T5: phase = 0.5
12.2396 	EXP 	grating_S1_T5: phase = 0.5
12.2568 	EXP 	grating_S1_T5: phase = 0.5
12.2731 	EXP 	grating_S1_T5: phase = 0.5
12.2904 	EXP 	grating_S1_T5: phase = 0.5
12.3063 	EXP 	grating_S1_T5: phase = 0.5
12.3236 	EXP 	grating_S1_T5: phase = 0.5
12.3401 	EXP 	grating_S1_T5: phase = 0.5
12.3560 	EXP 	grating_S1_T5: phase = 0.5
12.3733 	EXP 	grating_S1_T5: phase = 0.5
12.3898 	EXP 	grating_S1_T5: phase = 0.5
12.4071 	EXP 	grating_S1_T5: phase = 0.5
12.4232 	EXP 	grating_S1_T5: phase = 0.5
12.4403 	EXP 	grating_S1_T5: phase = 0.0
12.4566 	EXP 	grating_S1_T5: phase = 0.0
12.4737 	EXP 	grating_S1_T5: phase = 0.0
12.4900 	EXP 	grating_S1_T5: phase = 0.0
12.5064 	EXP 	grating_S1_T5: phase = 0.0
12.5227 	EXP 	grating_S1_T5: phase = 0.0
12.5400 	EXP 	grating_S1_T5: phase = 0.0
12.5562 	EXP 	grating_S1_T5: phase = 0.0
12.5734 	EXP 	grating_S1_T5: phase = 0.0
12.5896 	EXP 	grating_S1_T5: phase = 0.0
12.6068 	EXP 	grating_S1_T5: phase = 0.0
12.6240 	EXP 	grating_S1_T5: phase = 0.0
12.6400 	EXP 	grating_S1_T5: phase = 0.0
12.6566 	EXP 	grating_S1_T5: phase = 0.0
12.6738 	EXP 	grating_S1_T5: phase = 0.0
12.6901 	EXP 	grating_S1_T5: phase = 0.0
12.7068 	EXP 	grating_S1_T5: phase = 0.0
12.7229 	EXP 	grating_S1_T5: phase = 0.0
12.7400 	EXP 	grating_S1_T5: phase = 0.0
12.7571 	EXP 	grating_S1_T5: phase = 0.0
12.7732 	EXP 	grating_S1_T5: phase = 0.0
12.7895 	EXP 	grating_S1_T5: phase = 0.0
12.8061 	EXP 	grating_S1_T5: phase = 0.0
12.8233 	EXP 	grating_S1_T5: phase = 0.0
12.8392 	EXP 	grating_S1_T5: phase = 0.0
12.8566 	EXP 	grating_S1_T5: phase = 0.0
12.8738 	EXP 	grating_S1_T5: phase = 0.0
12.8900 	EXP 	grating_S1_T5: phase = 0.0
12.9063 	EXP 	grating_S1_T5: phase = 0.0
12.9233 	EXP 	grating_S1_T5: phase = 0.0
12.9399 	EXP 	grating_S1_T5: phase = 0.5
12.9569 	EXP 	grating_S1_T5: phase = 0.5
12.9734 	EXP 	grating_S1_T5: phase = 0.5
12.9907 	EXP 	grating_S1_T5: phase = 0.5
13.0081 	EXP 	grating_S1_T5: phase = 0.5
13.0247 	EXP 	grating_S1_T5: phase = 0.5
13.0413 	EXP 	grating_S1_T5: phase = 0.5
13.0566 	EXP 	grating_S1_T5: phase = 0.5
13.0742 	EXP 	grating_S1_T5: phase = 0.5
13.0906 	EXP 	grating_S1_T5: phase = 0.5
13.1072 	EXP 	grating_S1_T5: phase = 0.5
13.1233 	EXP 	grating_S1_T5: phase = 0.5
13.1410 	EXP 	grating_S1_T5: phase = 0.5
13.1564 	EXP 	grating_S1_T5: phase = 0.5
13.1740 	EXP 	grating_S1_T5: phase = 0.5
13.1897 	EXP 	grating_S1_T5: phase = 0.5
13.2070 	EXP 	grating_S1_T5: phase = 0.5
13.2237 	EXP 	grating_S1_T5: phase = 0.5
13.2400 	EXP 	grating_S1_T5: phase = 0.5
13.2562 	EXP 	grating_S1_T5: phase = 0.5
13.2733 	EXP 	grating_S1_T5: phase = 0.5
13.2897 	EXP 	grating_S1_T5: phase = 0.5
13.3072 	EXP 	grating_S1_T5: phase = 0.5
13.3234 	EXP 	grating_S1_T5: phase = 0.5
13.3408 	EXP 	grating_S1_T5: phase = 0.5
13.3568 	EXP 	grating_S1_T5: phase = 0.5
