12.9573 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
13.7294 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12f62d860>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12f2495f8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.0463 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=90.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([3.5, 3.5]), tex='sin', texRes=128, units='deg', win=Window(...))
14.0616 	EXP 	grating_S1_T5: phase = 0.0
14.0774 	EXP 	grating_S1_T5: phase = 0.0
14.0951 	EXP 	grating_S1_T5: phase = 0.0
14.1115 	EXP 	grating_S1_T5: phase = 0.0
14.1277 	EXP 	grating_S1_T5: phase = 0.0
14.1454 	EXP 	grating_S1_T5: phase = 0.0
14.1620 	EXP 	grating_S1_T5: phase = 0.0
14.1785 	EXP 	grating_S1_T5: phase = 0.0
14.1951 	EXP 	grating_S1_T5: phase = 0.0
14.2114 	EXP 	grating_S1_T5: phase = 0.0
14.2288 	EXP 	grating_S1_T5: phase = 0.0
14.2450 	EXP 	grating_S1_T5: phase = 0.0
14.2626 	EXP 	grating_S1_T5: phase = 0.0
14.2790 	EXP 	grating_S1_T5: phase = 0.0
14.2961 	EXP 	grating_S1_T5: phase = 0.0
14.3115 	EXP 	grating_S1_T5: phase = 0.0
14.3283 	EXP 	grating_S1_T5: phase = 0.0
14.3457 	EXP 	grating_S1_T5: phase = 0.0
14.3619 	EXP 	grating_S1_T5: phase = 0.0
14.3786 	EXP 	grating_S1_T5: phase = 0.0
14.3950 	EXP 	grating_S1_T5: phase = 0.0
14.4113 	EXP 	grating_S1_T5: phase = 0.0
14.4284 	EXP 	grating_S1_T5: phase = 0.0
14.4451 	EXP 	grating_S1_T5: phase = 0.0
14.4621 	EXP 	grating_S1_T5: phase = 0.0
14.4785 	EXP 	grating_S1_T5: phase = 0.0
14.4953 	EXP 	grating_S1_T5: phase = 0.0
