11.9898 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
12.7976 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x12f505860>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x12e5705f8>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.4283 	EXP 	Created grating_S1_T5 = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, interpolate=True, mask='circle', maskParams=None, name='grating_S1_T5', opacity=1.0, ori=90.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([0.6, 0.6]), size=array([3.5, 3.5]), tex='sin', texRes=128, units='deg', win=Window(...))
13.4448 	EXP 	grating_S1_T5: phase = 0.0
13.4635 	EXP 	grating_S1_T5: phase = 0.0
13.4803 	EXP 	grating_S1_T5: phase = 0.0
13.4961 	EXP 	grating_S1_T5: phase = 0.0
13.5127 	EXP 	grating_S1_T5: phase = 0.0
13.5305 	EXP 	grating_S1_T5: phase = 0.0
13.5478 	EXP 	grating_S1_T5: phase = 0.0
13.5625 	EXP 	grating_S1_T5: phase = 0.0
13.5802 	EXP 	grating_S1_T5: phase = 0.0
13.5966 	EXP 	grating_S1_T5: phase = 0.0
13.6136 	EXP 	grating_S1_T5: phase = 0.0
13.6304 	EXP 	grating_S1_T5: phase = 0.0
13.6476 	EXP 	grating_S1_T5: phase = 0.0
13.6643 	EXP 	grating_S1_T5: phase = 0.0
13.6797 	EXP 	grating_S1_T5: phase = 0.0
13.6980 	EXP 	grating_S1_T5: phase = 0.0
13.7129 	EXP 	grating_S1_T5: phase = 0.0
13.7316 	EXP 	grating_S1_T5: phase = 0.0
13.7461 	EXP 	grating_S1_T5: phase = 0.0
13.7626 	EXP 	grating_S1_T5: phase = 0.0
13.7809 	EXP 	grating_S1_T5: phase = 0.0
13.7962 	EXP 	grating_S1_T5: phase = 0.0
13.8141 	EXP 	grating_S1_T5: phase = 0.0
13.8299 	EXP 	grating_S1_T5: phase = 0.0
13.8459 	EXP 	grating_S1_T5: phase = 0.0
13.8624 	EXP 	grating_S1_T5: phase = 0.0
13.8793 	EXP 	grating_S1_T5: phase = 0.0
13.8969 	EXP 	grating_S1_T5: phase = 0.0
13.9135 	EXP 	grating_S1_T5: phase = 0.0
13.9304 	EXP 	grating_S1_T5: phase = 0.0
13.9460 	EXP 	grating_S1_T5: phase = 0.5
13.9636 	EXP 	grating_S1_T5: phase = 0.5
13.9795 	EXP 	grating_S1_T5: phase = 0.5
13.9963 	EXP 	grating_S1_T5: phase = 0.5
14.0138 	EXP 	grating_S1_T5: phase = 0.5
14.0295 	EXP 	grating_S1_T5: phase = 0.5
14.0480 	EXP 	grating_S1_T5: phase = 0.5
14.0634 	EXP 	grating_S1_T5: phase = 0.5
14.0796 	EXP 	grating_S1_T5: phase = 0.5
