99.8831 	EXP 	grating: color = '[0.02506749 0.02506749 0.02506749] (rgb)'
99.8831 	EXP 	grating: size = array([3.6, 3.6])
99.8831 	EXP 	grating: ori = 90.0
99.8831 	EXP 	grating: sf = array([1.2, 1.2])
99.8832 	EXP 	window1: recordFrameIntervals = False
99.8832 	WARNING 	We overshot the intended duration of ISI by 0.7642s. The intervening code took too long to execute.
100.1498 	EXP 	fixation: autoDraw = True
100.7333 	EXP 	fixation: autoDraw = False
100.9000 	EXP 	grating: autoDraw = True
101.4186 	DATA 	Keypress: right
101.4200 	EXP 	window1: recordFrameIntervals = False
101.4343 	EXP 	fixation: autoDraw = False
101.4343 	EXP 	grating: autoDraw = False
101.4343 	EXP 	grating: color = '[0.32406749 0.32406749 0.32406749] (rgb)'
101.4343 	EXP 	grating: size = array([3.6, 3.6])
101.4343 	EXP 	grating: ori = 0.0
101.4343 	EXP 	grating: sf = array([1.2, 1.2])
101.4344 	EXP 	window1: recordFrameIntervals = False
101.4344 	WARNING 	We overshot the intended duration of ISI by 0.7644s. The intervening code took too long to execute.
101.7009 	EXP 	fixation: autoDraw = True
102.2849 	EXP 	fixation: autoDraw = False
102.4515 	EXP 	grating: autoDraw = True
103.0196 	DATA 	Keypress: up
103.0212 	EXP 	window1: recordFrameIntervals = False
103.0355 	EXP 	fixation: autoDraw = False
103.0355 	EXP 	grating: autoDraw = False
103.0355 	EXP 	grating: color = '[0.32406749 0.32406749 0.32406749] (rgb)'
103.0355 	EXP 	grating: size = array([3.6, 3.6])
103.0355 	EXP 	grating: ori = 90.0
103.0355 	EXP 	grating: sf = array([12., 12.])
103.0356 	EXP 	window1: recordFrameIntervals = False
103.0356 	WARNING 	We overshot the intended duration of ISI by 0.7644s. The intervening code took too long to execute.
103.3018 	EXP 	fixation: autoDraw = True
103.8858 	EXP 	fixation: autoDraw = False
104.0529 	EXP 	grating: autoDraw = True
104.7384 	DATA 	Keypress: right
104.7398 	EXP 	window1: recordFrameIntervals = False
104.7530 	EXP 	fixation: autoDraw = False
104.7530 	EXP 	grating: autoDraw = False
104.7530 	EXP 	grating: color = '[0.33997471 0.33997471 0.33997471] (rgb)'
104.7530 	EXP 	grating: size = array([3.6, 3.6])
104.7530 	EXP 	grating: ori = 90.0
104.7530 	EXP 	grating: sf = array([1.2, 1.2])
104.7531 	EXP 	window1: recordFrameIntervals = False
104.7531 	WARNING 	We overshot the intended duration of ISI by 0.7632s. The intervening code took too long to execute.
105.0200 	EXP 	fixation: autoDraw = True
105.6037 	EXP 	fixation: autoDraw = False
105.7713 	EXP 	grating: autoDraw = True
106.3728 	DATA 	Keypress: right
106.3742 	EXP 	window1: recordFrameIntervals = False
106.3885 	EXP 	fixation: autoDraw = False
106.3885 	EXP 	grating: autoDraw = False
106.3885 	EXP 	grating: color = '[0.04097471 0.04097471 0.04097471] (rgb)'
106.3885 	EXP 	grating: size = array([3.6, 3.6])
106.3885 	EXP 	grating: ori = 0.0
106.3885 	EXP 	grating: sf = array([12., 12.])
106.3886 	EXP 	window1: recordFrameIntervals = False
106.3886 	WARNING 	We overshot the intended duration of ISI by 0.7644s. The intervening code took too long to execute.
106.6551 	EXP 	fixation: autoDraw = True
