practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,setup_text.started,setup_text.stopped,instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,ISI.started,ISI.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,theshold_estimation_trials.label,theshold_estimation_trials.startVal,theshold_estimation_trials.startValSd,theshold_estimation_trials.stim_diam_degs,theshold_estimation_trials.SF,theshold_estimation_trials.TF,theshold_estimation_trials.stepSizes,theshold_estimation_trials.maxVal,theshold_estimation_trials.minVal,theshold_estimation_trials.thisIndex,theshold_estimation_trials.thisRepN,theshold_estimation_trials.thisN,theshold_estimation_trials.direction,theshold_estimation_trials.stepSize,theshold_estimation_trials.stepType,theshold_estimation_trials.intensity,theshold_estimation_trials.response,thanksMsg.started,thanksMsg.stopped,participant,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,4,6,start,4,lin,0.5549818653929014,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,4,7,start,4,lin,0.5549818653929014,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,5,8,start,4,lin,0.5682271588280314,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,5,9,start,4,lin,0.5682271588280314,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,6,10,start,4,lin,0.5812533968022043,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,6,11,start,4,lin,0.5812533968022043,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,7,12,start,4,lin,0.5932620371511558,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,7,13,start,4,lin,0.5932620371511558,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,8,14,start,4,lin,0.6044424794641969,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,8,15,start,4,lin,0.6044424794641969,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,9,16,start,4,lin,0.6149956036189853,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,9,17,start,4,lin,0.6149956036189853,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,10,18,start,4,lin,0.6250555732150089,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,10,19,start,4,lin,0.6250555732150089,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,11,20,start,4,lin,0.6354504380923945,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,11,21,start,4,lin,0.6354504380923945,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,12,22,start,4,lin,0.6454177780487753,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,12,23,start,4,lin,0.6454177780487753,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,13,24,start,4,lin,0.6550332099271292,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,13,25,start,4,lin,0.6550332099271292,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,14,26,start,4,lin,0.6643531884188904,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
