15.0669 	WARNING 	User requested fullscreen with size [1920 1080], but screen is actually [2560, 1440]. Using actual size
15.8289 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x11c9f77f0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x11c9c8a20>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2560, 1440]), stereo=False, units='deg', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
15.8289 	EXP 	window1: recordFrameIntervals = False
15.9953 	EXP 	window1: recordFrameIntervals = True
16.1788 	EXP 	window1: recordFrameIntervals = False
17.3690 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=1, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
17.3717 	EXP 	Created fixation = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color='black', colorSpace='named', contrast=1.0, depth=0, interpolate=True, mask='gauss', maskParams=None, name='fixation', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([1., 1.]), tex=None, texRes=128, units='deg', win=Window(...))
17.3743 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, autoDraw=False, autoLog=True, blendmode='avg', color='white', colorSpace='named', contrast=1.0, depth=0.0, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([1., 1.]), tex='sin', texRes=128, units='deg', win=Window(...))
17.3954 	EXP 	Created thanksMsg = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='thanksMsg', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([1., 1., 1.]), text=str(...), units='deg', win=Window(...), wrapWidth=15.0)
17.4141 	EXP 	instrText: autoDraw = True
34.5651 	EXP 	Imported stairDefinitions.xlsx as conditions, 4 conditions, 9 params
34.8263 	EXP 	window1: recordFrameIntervals = False
34.8294 	DATA 	Keypress: space
34.8454 	EXP 	instrText: autoDraw = False
34.8454 	EXP 	grating: color = '[0.3 0.3 0.3] (rgb)'
34.8454 	EXP 	grating: size = array([3.6, 3.6])
34.8454 	EXP 	grating: ori = 90.0
34.8454 	EXP 	grating: sf = array([12., 12.])
34.8456 	EXP 	window1: recordFrameIntervals = False
35.0981 	EXP 	fixation: autoDraw = True
35.2793 	EXP 	fixation: autoDraw = False
35.3448 	EXP 	grating: autoDraw = True
38.7059 	EXP 	window1: recordFrameIntervals = False
38.7077 	DATA 	Keypress: right
38.7154 	EXP 	fixation: autoDraw = False
38.7154 	EXP 	grating: autoDraw = False
38.7154 	EXP 	grating: color = '[0.001 0.001 0.001] (rgb)'
38.7154 	EXP 	grating: size = array([3.6, 3.6])
38.7154 	EXP 	grating: ori = 0.0
38.7154 	EXP 	grating: sf = array([1.2, 1.2])
38.7155 	EXP 	window1: recordFrameIntervals = False
38.9824 	EXP 	fixation: autoDraw = True
39.1659 	EXP 	fixation: autoDraw = False
39.2326 	EXP 	grating: autoDraw = True
42.0761 	EXP 	window1: recordFrameIntervals = False
42.0775 	DATA 	Keypress: left
42.0848 	EXP 	fixation: autoDraw = False
42.0848 	EXP 	grating: autoDraw = False
42.0848 	EXP 	grating: color = '[0.001 0.001 0.001] (rgb)'
42.0848 	EXP 	grating: size = array([3.6, 3.6])
42.0848 	EXP 	grating: ori = 0.0
42.0848 	EXP 	grating: sf = array([12., 12.])
42.0849 	EXP 	window1: recordFrameIntervals = False
42.3518 	EXP 	fixation: autoDraw = True
42.5353 	EXP 	fixation: autoDraw = False
42.6020 	EXP 	grating: autoDraw = True
44.4107 	EXP 	window1: recordFrameIntervals = False
44.4122 	DATA 	Keypress: right
44.4202 	EXP 	fixation: autoDraw = False
44.4202 	EXP 	grating: autoDraw = False
44.4202 	EXP 	grating: color = '[0.3 0.3 0.3] (rgb)'
44.4202 	EXP 	grating: size = array([3.6, 3.6])
44.4202 	EXP 	grating: ori = 0.0
44.4202 	EXP 	grating: sf = array([1.2, 1.2])
44.4203 	EXP 	window1: recordFrameIntervals = False
44.6872 	EXP 	fixation: autoDraw = True
44.8706 	EXP 	fixation: autoDraw = False
44.9373 	EXP 	grating: autoDraw = True
45.9954 	EXP 	window1: recordFrameIntervals = False
45.9968 	DATA 	Keypress: left
46.0050 	EXP 	fixation: autoDraw = False
46.0050 	EXP 	grating: autoDraw = False
46.0050 	EXP 	grating: color = '[0.30209459 0.30209459 0.30209459] (rgb)'
46.0050 	EXP 	grating: size = array([3.6, 3.6])
46.0050 	EXP 	grating: ori = 0.0
46.0050 	EXP 	grating: sf = array([12., 12.])
46.0051 	EXP 	window1: recordFrameIntervals = False
46.2719 	EXP 	fixation: autoDraw = True
46.4553 	EXP 	fixation: autoDraw = False
46.5220 	EXP 	grating: autoDraw = True
47.4297 	EXP 	window1: recordFrameIntervals = False
47.4313 	DATA 	Keypress: right
47.4394 	EXP 	fixation: autoDraw = False
47.4394 	EXP 	grating: autoDraw = False
47.4394 	EXP 	grating: color = '[0.30209459 0.30209459 0.30209459] (rgb)'
47.4394 	EXP 	grating: size = array([3.6, 3.6])
47.4394 	EXP 	grating: ori = 90.0
