instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,trials.label,trials.startVal,trials.startValSd,trials.stim_diam_degs,trials.SF,trials.TF,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,session,participant,date,expName,psychopyVersion,frameRate,
21.368826118996367,None,space,9.804819530982058,21.368826118996367,None,,,,,,,,,,,,,,,,,,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.001,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,1,1,start,4,lin,0.3,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,1,2,start,4,lin,0.3,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,1,3,start,4,lin,0.001,0,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,2,4,start,4,lin,0.02506748593551877,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,2,5,start,4,lin,0.3020945854670745,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,2,6,start,4,lin,0.003094585467074511,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,2,7,start,4,lin,0.3020945854670745,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,3,8,start,4,lin,0.2978776137470836,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,high_8,0.3,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,3,3,9,start,4,lin,0.2978776137470836,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,low_2,0.001,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,3,10,start,4,lin,0,0,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,3,11,start,4,lin,0.021236126172390526,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,high_2,0.3,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,1,4,12,start,4,lin,0.2937834968227827,1,001,000,2019_Sep_09_1244,interleaved_QUEST_staircase_contrast,3.1.4,59.96005101865083,
,,,,,,low_8,0.001,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,2,4,13,start,4,lin,0.017581269967197024,,,,,,,,
