endInstructions.keys,endInstructions.rt,trials.label,trials.startVal,trials.startValSd,trials.stim_diam_degs,trials.SF,trials.TF,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,session,participant,date,expName,psychopyVersion,frameRate,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,13,24,start,4,lin,0.6550332099271292,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,13,25,start,4,lin,0.6550332099271292,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,14,26,start,4,lin,0.6643531884188904,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,14,27,start,4,lin,0.6643531884188904,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,15,28,start,4,lin,0.6727611046223798,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,15,29,start,4,lin,0.6727611046223798,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,16,30,start,4,lin,0.6809917236426999,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,16,31,start,4,lin,0.6809917236426999,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,17,32,start,4,lin,0.6891296328065071,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,17,33,start,4,lin,0.6891296328065071,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,18,34,start,4,lin,0.6972409897801691,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,18,35,start,4,lin,0.6972409897801691,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,19,36,start,4,lin,0.7052541350225909,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,19,37,start,4,lin,0.7052541350225909,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,20,38,start,4,lin,0.7131615429430304,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,20,39,start,4,lin,0.7131615429430304,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,21,40,start,4,lin,0.7203518434150047,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,21,41,start,4,lin,0.7203518434150047,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,22,42,start,4,lin,0.7276714557592658,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,22,43,start,4,lin,0.7276714557592658,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,23,44,start,4,lin,0.7349950578035329,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,23,45,start,4,lin,0.7349950578035329,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,24,46,start,4,lin,0.7417070723614859,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,24,47,start,4,lin,0.7417070723614859,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,25,48,start,4,lin,0.7484581908988307,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,25,49,start,4,lin,0.7484581908988307,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,26,50,start,4,lin,0.7553575115919673,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,26,51,start,4,lin,0.7553575115919673,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,27,52,start,4,lin,0.7622105366538379,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,27,53,start,4,lin,0.7622105366538379,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,28,54,start,4,lin,0.768561112965124,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,28,55,start,4,lin,0.768561112965124,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,29,56,start,4,lin,0.7751172815242267,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,29,57,start,4,lin,0.7751172815242267,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,30,58,start,4,lin,0.7816240704089812,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,30,59,start,4,lin,0.7816240704089812,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,31,60,start,4,lin,0.7877375087910972,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,31,61,start,4,lin,0.7877375087910972,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,32,62,start,4,lin,0.7940180582533085,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,32,63,start,4,lin,0.7940180582533085,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,33,64,start,4,lin,0.799739322079921,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,33,65,start,4,lin,0.799739322079921,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
