54.9280 	EXP 	grating: sf = array([1.2, 1.2])
54.9281 	EXP 	window1: recordFrameIntervals = False
55.1949 	EXP 	fixation: autoDraw = True
55.3784 	EXP 	fixation: autoDraw = False
55.4451 	EXP 	grating: autoDraw = True
55.9971 	DATA 	Keypress: up
57.2040 	EXP 	window1: recordFrameIntervals = False
57.2054 	DATA 	Keypress: right
57.2134 	EXP 	fixation: autoDraw = False
57.2134 	EXP 	grating: autoDraw = False
57.2134 	EXP 	grating: color = '[0.00309459 0.00309459 0.00309459] (rgb)'
57.2134 	EXP 	grating: size = array([3.6, 3.6])
57.2134 	EXP 	grating: ori = 0.0
57.2134 	EXP 	grating: sf = array([1.2, 1.2])
57.2135 	EXP 	window1: recordFrameIntervals = False
57.4802 	EXP 	fixation: autoDraw = True
57.6637 	EXP 	fixation: autoDraw = False
57.7304 	EXP 	grating: autoDraw = True
61.2903 	EXP 	window1: recordFrameIntervals = False
61.2917 	DATA 	Keypress: left
61.3001 	EXP 	fixation: autoDraw = False
61.3001 	EXP 	grating: autoDraw = False
61.3001 	EXP 	grating: color = '[0.30209459 0.30209459 0.30209459] (rgb)'
61.3001 	EXP 	grating: size = array([3.6, 3.6])
61.3001 	EXP 	grating: ori = 0.0
61.3001 	EXP 	grating: sf = array([12., 12.])
61.3002 	EXP 	window1: recordFrameIntervals = False
61.5670 	EXP 	fixation: autoDraw = True
61.7504 	EXP 	fixation: autoDraw = False
61.8171 	EXP 	grating: autoDraw = True
63.2090 	EXP 	window1: recordFrameIntervals = False
63.2104 	DATA 	Keypress: left
63.2184 	EXP 	fixation: autoDraw = False
63.2184 	EXP 	grating: autoDraw = False
63.2184 	EXP 	grating: color = '[0.29787761 0.29787761 0.29787761] (rgb)'
63.2184 	EXP 	grating: size = array([3.6, 3.6])
63.2184 	EXP 	grating: ori = 90.0
63.2184 	EXP 	grating: sf = array([1.2, 1.2])
63.2185 	EXP 	window1: recordFrameIntervals = False
63.4853 	EXP 	fixation: autoDraw = True
63.6689 	EXP 	fixation: autoDraw = False
63.7355 	EXP 	grating: autoDraw = True
64.3597 	EXP 	window1: recordFrameIntervals = False
64.3611 	DATA 	Keypress: right
64.3694 	EXP 	fixation: autoDraw = False
64.3694 	EXP 	grating: autoDraw = False
64.3694 	EXP 	grating: color = '[0.29787761 0.29787761 0.29787761] (rgb)'
64.3694 	EXP 	grating: size = array([3.6, 3.6])
64.3694 	EXP 	grating: ori = 90.0
64.3694 	EXP 	grating: sf = array([12., 12.])
64.3695 	EXP 	window1: recordFrameIntervals = False
64.6362 	EXP 	fixation: autoDraw = True
64.8197 	EXP 	fixation: autoDraw = False
64.8865 	EXP 	grating: autoDraw = True
66.0611 	EXP 	window1: recordFrameIntervals = False
66.0626 	DATA 	Keypress: right
66.0708 	EXP 	fixation: autoDraw = False
66.0708 	EXP 	grating: autoDraw = False
66.0708 	EXP 	grating: color = '[0. 0. 0.] (rgb)'
66.0708 	EXP 	grating: size = array([3.6, 3.6])
66.0708 	EXP 	grating: ori = 90.0
66.0708 	EXP 	grating: sf = array([1.2, 1.2])
66.0708 	EXP 	window1: recordFrameIntervals = False
66.3377 	EXP 	fixation: autoDraw = True
66.5211 	EXP 	fixation: autoDraw = False
66.5879 	EXP 	grating: autoDraw = True
69.5141 	EXP 	window1: recordFrameIntervals = False
69.5156 	DATA 	Keypress: left
69.5237 	EXP 	fixation: autoDraw = False
69.5237 	EXP 	grating: autoDraw = False
69.5237 	EXP 	grating: color = '[0.02123613 0.02123613 0.02123613] (rgb)'
69.5237 	EXP 	grating: size = array([3.6, 3.6])
69.5237 	EXP 	grating: ori = 90.0
69.5237 	EXP 	grating: sf = array([12., 12.])
69.5238 	EXP 	window1: recordFrameIntervals = False
69.7907 	EXP 	fixation: autoDraw = True
69.9740 	EXP 	fixation: autoDraw = False
70.0409 	EXP 	grating: autoDraw = True
71.1986 	EXP 	window1: recordFrameIntervals = False
71.2002 	DATA 	Keypress: right
71.2084 	EXP 	fixation: autoDraw = False
71.2084 	EXP 	grating: autoDraw = False
71.2084 	EXP 	grating: color = '[0.2937835 0.2937835 0.2937835] (rgb)'
71.2084 	EXP 	grating: size = array([3.6, 3.6])
71.2084 	EXP 	grating: ori = 0.0
71.2084 	EXP 	grating: sf = array([1.2, 1.2])
71.2085 	EXP 	window1: recordFrameIntervals = False
71.4754 	EXP 	fixation: autoDraw = True
71.6588 	EXP 	fixation: autoDraw = False
71.7256 	EXP 	grating: autoDraw = True
72.3831 	EXP 	window1: recordFrameIntervals = False
72.3845 	DATA 	Keypress: left
72.3929 	EXP 	fixation: autoDraw = False
72.3929 	EXP 	grating: autoDraw = False
72.3929 	EXP 	grating: color = '[0.01758127 0.01758127 0.01758127] (rgb)'
72.3929 	EXP 	grating: size = array([3.6, 3.6])
72.3929 	EXP 	grating: ori = 90.0
72.3929 	EXP 	grating: sf = array([12., 12.])
72.3929 	EXP 	window1: recordFrameIntervals = False
72.6597 	EXP 	fixation: autoDraw = True
72.8431 	EXP 	fixation: autoDraw = False
72.9099 	EXP 	grating: autoDraw = True
73.1951 	DATA 	Keypress: escape
73.5411 	EXP 	window1: mouseVisible = True
